Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
1;29/09/2003;2;3;5;6;9;10;11;13;14;16;18;20;23;24;25;0;5;;BA;154;4645;48807;257593;49.765,82;689,84;10;4;2;0;0;0
2;06/10/2003;1;4;5;6;7;9;11;12;13;15;16;19;20;23;24;0;1;;SP;184;6232;81252;478188;596.323,70;1.388,95;10;4;2;0;0;0
3;13/10/2003;1;4;6;7;8;9;10;11;12;14;16;17;20;23;24;0;2;;SP;158;6897;96244;608211;400.623,70;2.173,36;10;4;2;0;0;0
4;20/10/2003;1;2;4;5;8;10;12;13;16;17;18;19;23;24;25;0;1;;MT;258;9569;123912;706657;902.226,02;1.498,72;10;4;2;0;0;0
5;27/10/2003;1;2;4;8;9;11;12;13;15;16;19;20;23;24;25;0;2;;BA;472;14736;195636;860992;380.017,55;687,49;10;4;2;0;0;0
6;03/11/2003;1;2;4;5;6;7;10;12;15;16;17;19;21;23;25;0;2;;RJ;393;14242;162320;888301;489.140,06;1.066,83;10;4;2;0;0;0
7;10/11/2003;1;4;7;8;10;12;14;15;16;18;19;21;22;23;25;0;9;;BA;1333;25878;206828;967358;104.625,29;301,59;10;4;2;0;0;0
8;17/11/2003;1;5;6;8;9;10;13;15;16;17;18;19;20;22;25;0;1;;BA;256;11414;149037;926910;1.201.958,08;2.012,21;10;4;2;0;0;0
9;24/11/2003;3;4;5;9;10;11;13;15;16;17;19;20;21;24;25;0;3;;PR;407;14973;213511;1104328;336.053,65;1.061,60;10;4;2;0;0;0
10;01/12/2003;2;3;4;5;6;8;9;10;11;12;14;19;20;23;24;0;0;;;380;15767;207355;1186563;0;1.157,08;10;4;2;1.025.945,00;0;0
11;08/12/2003;2;6;7;8;9;10;11;12;16;19;20;22;23;24;25;0;0;;;306;14249;216679;1343171;0;1.855,82;10;4;2;2.351.000,93;0;0
12;15/12/2003;1;2;4;5;7;8;9;10;11;12;14;16;17;24;25;0;1;;GO;631;24400;322557;1607584;3.490.966,18;771,32;10;4;2;0;0;0
13;22/12/2003;3;5;6;7;8;9;10;11;13;14;15;16;17;19;23;0;3;;PR;714;27399;320961;1501354;269.157,25;482,84;10;4;2;0;0;0
14;29/12/2003;1;2;5;6;7;9;13;14;15;18;19;20;21;23;25;0;3;;RS;444;15413;214582;1149506;411.362,89;1.191,21;10;4;2;0;0;0
15;05/01/2004;1;2;4;6;8;10;12;15;16;18;19;21;23;24;25;0;22;;DF;2059;38038;379994;1198158;27.525,68;125,58;10;4;2;0;0;0
16;12/01/2004;2;5;6;7;8;10;12;13;15;17;19;21;23;24;25;0;9;;AL;1086;29005;329409;1471908;83.935,77;296,98;10;4;2;0;0;0
17;19/01/2004;1;2;3;5;6;7;9;13;14;16;17;18;19;20;21;0;1;;SP;320;14425;232740;1083387;1.427.169,94;1.911,39;10;4;2;0;0;0
18;26/01/2004;2;6;7;8;10;11;14;15;17;18;19;20;22;23;24;0;3;;MT;309;12373;174339;1079894;487.887,61;2.030,05;10;4;2;0;0;0
19;02/02/2004;2;5;6;7;8;10;11;13;14;15;16;17;20;23;24;0;10;;GO;818;23594;326913;1333412;82.040,05;428,2;10;4;2;0;0;0
20;09/02/2004;3;4;6;7;8;9;10;14;16;17;18;19;20;23;24;0;9;;BA;931;19580;266087;1462294;122.882,04;507,17;10;4;2;0;0;0
21;16/02/2004;1;2;4;5;8;11;14;16;18;19;20;22;23;24;25;0;3;;BA;316;13077;203475;1211951;530.990,23;2.160,45;10;4;2;0;0;0
22;25/02/2004;1;2;3;4;5;6;7;9;10;12;13;14;15;22;25;0;1;;BA;484;55372;152738;868693;1.081.149,89;957,34;10;4;2;0;0;0
23;01/03/2004;1;3;4;5;6;8;10;11;12;14;16;17;18;19;20;0;1;;SE;541;16248;215670;1187602;1.178.452,05;933,55;10;4;2;0;0;0
24;08/03/2004;1;2;3;5;7;10;11;14;17;19;20;21;23;24;25;0;2;;RJ;585;22453;258724;1286374;662.295,89;970,4;10;4;2;0;0;0
25;15/03/2004;1;2;3;4;5;6;7;9;13;14;16;20;22;23;24;0;0;;;417;16108;213231;1288117;0;1.437,73;10;4;2;1.398.910,67;0;0
26;22/03/2004;5;7;8;9;10;11;13;14;16;17;19;20;21;22;23;0;3;;PE;602;22397;317722;1659205;970.676,17;1.077,21;10;4;2;0;0;0
27;29/03/2004;3;6;8;10;11;12;13;14;15;18;20;21;22;24;25;0;2;;DF;466;15650;216827;1192912;811.005,39;1.491,73;10;4;2;0;0;0
28;05/04/2004;1;3;7;9;10;11;12;13;14;16;17;18;19;20;21;0;2;;GO;556;22300;307113;1363336;536.916,65;827,73;10;4;2;0;0;0
29;12/04/2004;1;4;5;6;8;9;13;14;16;17;19;20;21;22;24;0;5;;CE;456;14375;181147;1203109;317.538,81;1.492,19;10;4;2;0;0;0
30;19/04/2004;1;2;3;4;6;7;8;11;14;17;19;20;21;22;23;0;2;;MG;345;13480;184916;1136035;813.271,34;2.020,55;10;4;2;0;0;0
31;26/04/2004;1;2;3;4;9;13;14;15;17;19;20;21;22;24;25;0;3;;DF;250;13005;189635;1161305;503.451,70;2.589,18;10;4;2;0;0;0
32;03/05/2004;1;2;4;6;7;9;10;11;14;15;16;17;20;22;23;0;2;;BA;384;14060;199525;1175480;706.634,89;1.577,31;10;4;2;0;0;0
33;10/05/2004;1;2;5;7;8;10;11;12;14;16;19;20;21;23;24;0;9;;BA;1358;35450;328729;1417927;109.171,84;308,91;10;4;2;0;0;0
34;17/05/2004;1;2;4;7;8;9;10;11;15;16;18;19;20;21;23;0;0;;;407;16589;216210;1359006;0;1.381,20;10;4;2;1.311.675,01;0;0
35;24/05/2004;1;4;5;6;11;12;13;14;16;17;19;21;22;23;25;0;1;;RS;291;12750;191524;1338198;3.155.820,04;2.715,98;10;4;2;0;0;0
36;31/05/2004;1;4;5;7;8;10;11;14;17;19;20;21;22;23;24;0;6;;BA;1573;40526;453277;1414816;92.828,37;151,18;10;4;2;0;0;0
37;07/06/2004;1;3;4;5;8;9;10;11;13;15;20;21;22;23;24;0;1;;MT;283;11976;182815;1220504;1.371.528,32;2.077,02;10;4;2;0;0;0
38;14/06/2004;1;2;3;6;7;8;9;10;13;14;15;16;22;24;25;0;0;;;298;12361;181763;1122407;0;2.240,91;10;4;2;1.558.182,50;0;0
39;21/06/2004;2;7;8;9;11;13;14;15;17;18;19;21;22;23;24;0;3;;RJ;915;31607;352332;1626512;888.003,60;516;10;4;2;0;0;0
40;28/06/2004;1;2;5;7;8;10;12;13;14;16;17;20;21;22;24;0;9;;BA;650;20792;266561;1331593;129.462,67;765,33;10;4;2;0;0;0
41;05/07/2004;2;3;4;9;12;13;15;16;17;18;19;20;21;23;25;0;5;;DF;431;16555;218669;1304019;285.091,61;1.417,43;10;4;2;0;0;0
42;12/07/2004;1;3;4;5;6;8;11;12;14;15;17;21;22;24;25;0;1;;SP;351;14288;205537;1065540;1.731.431,15;2.114,08;10;4;2;0;0;0
43;19/07/2004;1;3;6;7;8;9;10;14;17;18;19;20;22;23;24;0;2;;MS;448;31225;257520;1394077;550.553,79;1.053,36;10;4;2;0;0;0
44;26/07/2004;3;4;5;6;10;11;12;13;14;18;19;21;23;24;25;0;0;;;334;12675;172526;1140441;0;2.056,93;10;4;2;1.603.036,94;0;0
45;02/08/2004;1;2;3;5;7;9;14;16;17;18;19;21;23;24;25;0;4;;MG;602;23232;353114;1591989;731.525,88;941,91;10;4;2;0;0;0
46;09/08/2004;1;2;4;5;6;8;10;11;14;18;19;21;23;24;25;0;4;;DF;825;24898;340899;1460500;308.549,13;638,71;10;4;2;0;0;0
47;16/08/2004;1;2;3;4;5;6;8;10;11;13;15;18;20;22;25;0;16;;BA;933;25668;259783;1267303;94.685,43;693,26;10;4;2;0;0;0
48;23/08/2004;2;5;6;7;11;13;15;16;17;18;19;20;21;22;23;0;2;;DF;331;13606;193466;1299636;777.343,31;2.012,97;10;4;2;0;0;0
49;30/08/2004;2;4;5;6;8;11;13;15;16;19;20;21;22;23;24;0;0;;;673;22438;282506;1269761;0;806;10;4;2;1.265.682,65;0;0
50;06/09/2004;1;2;3;6;7;9;10;11;12;13;19;20;21;23;25;0;1;;SP;659;21583;298054;1545777;2.776.089,01;982,27;10;4;2;0;0;0
51;13/09/2004;1;3;5;6;7;8;11;13;14;16;17;20;21;22;23;0;2;;GO;765;22722;302341;1520867;545.229,30;608,58;10;4;2;0;0;0
52;20/09/2004;1;2;4;8;9;11;12;13;15;16;21;22;23;24;25;0;3;;MA;420;24265;205595;1156747;532.065,25;1.628,77;10;4;2;0;0;0
53;27/09/2004;1;2;3;6;7;9;11;12;14;17;18;19;20;23;24;0;4;;AM;564;19767;262234;1425498;269.887,95;820,33;10;4;2;0;0;0
54;04/10/2004;2;4;5;6;7;8;9;12;14;16;18;20;21;22;24;0;27;;BA;2269;40058;272073;1157000;46.149,84;234,47;10;4;2;0;0;0
55;11/10/2004;2;3;4;5;6;7;8;9;12;13;15;16;18;19;25;0;6;;MA;682;24083;253488;1334310;213.174,74;803,76;10;4;2;0;0;0
56;18/10/2004;1;2;5;9;12;13;14;15;16;17;19;20;22;23;24;0;0;;;401;17323;225472;1396834;0;1.427,28;10;4;2;1.335.461,47;0;0
57;25/10/2004;1;2;3;4;6;7;8;11;12;17;19;20;21;22;25;0;1;;MG;571;33796;229355;1390034;3.278.857,27;1.458,64;10;4;2;0;0;0
58;01/11/2004;3;4;5;6;11;12;13;14;15;16;17;18;19;20;22;0;6;;DF;559;17361;165098;1095964;294.482,82;1.354,64;10;4;2;0;0;0
